State,Residence_Type,Age group,Gender,Labour force participation rate according to usual status (ps+ss),Worker population rate according to usual status (ps+ss), unemployment rate according to usual status (ps+ss)
Delhi,Urban,15-29 years,Person,41.7,31.9,23.5
Delhi,Rural,15-59 years,Female,16.3,16.3,0.0
Delhi,Rural,15-59 years,Male,80.5,80.0,0.6
Delhi,Rural,15-59 years,Person,49.8,49.6,0.5
Delhi,Total,15-59 years,Female,19.7,17.7,9.8
Delhi,Total,15-59 years,Male,79.7,71.1,10.9
Delhi,Total,15-59 years,Person,53.5,47.8,10.7
Delhi,Urban,15-59 years,Female,19.8,17.8,10.1
Delhi,Urban,15-59 years,Male,79.7,70.7,11.2
Delhi,Urban,15-59 years,Person,53.6,47.7,11.1
Delhi,Rural,15 years and above,Male,72.2,71.8,0.6
Delhi,Rural,15 years and above,Person,44.7,44.4,0.5
Delhi,Total,15 years and above,Female,17.8,16.1,9.6
Delhi,Total,15 years and above,Male,75.2,67.3,10.6
Delhi,Total,15 years and above,Person,49.7,44.5,10.4
Delhi,Urban,15 years and above,Female,18.0,16.2,9.9
Delhi,Urban,15 years and above,Male,75.3,67.1,10.9
Delhi,Urban,15 years and above,Person,49.9,44.5,10.8
Delhi,Rural,All Ages,Female,9.0,9.0,0.0
Delhi,Rural,All Ages,Male,41.6,41.4,0.6
Delhi,Rural,All Ages,Person,26.7,26.6,0.5
Delhi,Total,All Ages,Female,13.7,12.4,9.6
Delhi,Total,All Ages,Male,56.8,50.8,10.6
Delhi,Total,All Ages,Person,37.5,33.6,10.4
Delhi,Urban,All Ages,Female,13.9,12.5,9.9
Delhi,Urban,All Ages,Male,57.6,51.3,10.9
Delhi,Urban,All Ages,Person,38.1,34.0,10.8
Delhi,Rural,15-29 years,Female,0.0,0.0,0.0
Delhi,Rural,15-29 years,Male,59.7,55.2,7.5
Delhi,Rural,15-29 years,Person,33.1,30.6,7.5
Delhi,Total,15-29 years,Female,12.7,9.2,27.5
Delhi,Total,15-29 years,Male,59.0,46.3,21.6
Delhi,Total,15-29 years,Person,38.8,30.1,22.5
Delhi,Urban,15-29 years,Female,13.1,9.5,27.5
Delhi,Urban,15-29 years,Male,59.0,46.0,22.1
Delhi,Urban,15-29 years,Person,39.0,30.1,22.9
Delhi,Rural,15-59 years,Female,21.3,21.3,0.0
Delhi,Rural,15-59 years,Male,72.4,70.5,2.6
Delhi,Rural,15-59 years,Person,47.4,46.4,2.0
Delhi,Total,15-59 years,Female,17.4,15.6,10.3
Delhi,Total,15-59 years,Male,79.6,72.7,8.7
Delhi,Total,15-59 years,Person,51.3,46.7,9.0
Delhi,Urban,15-59 years,Female,17.2,15.4,10.8
Delhi,Urban,15-59 years,Male,79.9,72.8,8.9
Delhi,Urban,15-59 years,Person,51.5,46.8,9.2
Delhi,Rural,15 years and above,Female,21.0,21.0,0.0
Delhi,Rural,15 years and above,Male,68.4,66.7,2.5
Delhi,Rural,15 years and above,Person,46.2,45.3,2.0
Delhi,Total,15 years and above,Female,16.1,14.5,9.8
Delhi,Total,15 years and above,Male,73.5,67.4,8.4
Delhi,Total,15 years and above,Person,47.3,43.3,8.6
Delhi,Urban,15 years and above,Female,16.0,14.3,10.2
Delhi,Urban,15 years and above,Male,73.7,67.4,8.6
Delhi,Urban,15 years and above,Person,47.4,43.2,8.8
Delhi,Rural,all ages,Female,14.6,14.6,0.0
Delhi,Rural,all ages,Male,42.6,41.5,2.5
Delhi,Rural,all ages,Person,30.2,29.6,2.0
Delhi,Total,all ages,Female,12.8,11.5,9.8
Delhi,Total,all ages,Male,57.5,52.6,8.5
Delhi,Total,all ages,Person,37.2,34.0,8.7
Delhi,Urban,all ages,Female,12.7,11.4,10.2
Delhi,Urban,all ages,Male,58.1,53.0,8.7
Delhi,Urban,all ages,Person,37.5,34.1,8.9
Rajasthan,Rural,15-29 years,Female,22.9,21.4,6.5
Rajasthan,Rural,15-29 years,Male,57.9,48.2,16.7
Rajasthan,Rural,15-29 years,Person,40.8,35.1,13.9
Rajasthan,Total,15-29 years,Female,20.3,17.9,11.7
Rajasthan,Total,15-29 years,Male,57.6,47.1,18.3
Rajasthan,Total,15-29 years,Person,39.3,32.8,16.6
Rajasthan,Urban,15-29 years,Female,12.5,7.6,39.1
Rajasthan,Urban,15-29 years,Male,56.8,43.8,22.9
Rajasthan,Urban,15-29 years,Person,35.1,26.1,25.7
Rajasthan,Rural,15-59 years,Female,39.9,39.0,2.2
Rajasthan,Rural,15-59 years,Male,78.6,73.4,6.5
Rajasthan,Rural,15-59 years,Person,59.3,56.3,5.1
Rajasthan,Total,15-59 years,Female,34.1,32.8,3.9
Rajasthan,Total,15-59 years,Male,78.7,73.1,7.1
Rajasthan,Total,15-59 years,Person,56.6,53.1,6.2
Rajasthan,Urban,15-59 years,Female,18.0,15.3,14.8
Rajasthan,Urban,15-59 years,Male,79.0,72.0,8.8
Rajasthan,Urban,15-59 years,Person,49.3,44.4,9.9
Rajasthan,Rural,15 years and above,Male,74.8,70.4,5.9
Rajasthan,Rural,15 years and above,Person,55.8,53.2,4.6
Rajasthan,Total,15 years and above,Female,31.4,30.2,3.7
Rajasthan,Total,15 years and above,Male,74.5,69.6,6.6
Rajasthan,Total,15 years and above,Person,53.0,50.0,5.7
Rajasthan,Urban,15 years and above,Female,16.2,13.9,14.2
Rajasthan,Urban,15 years and above,Male,73.5,67.3,8.5
Rajasthan,Urban,15 years and above,Person,45.4,41.1,9.5
Rajasthan,Rural,All Ages,Female,26.3,25.8,2.1
Rajasthan,Rural,All Ages,Male,51.3,48.3,5.9
Rajasthan,Rural,All Ages,Person,39.1,37.3,4.6
Rajasthan,Total,All Ages,Female,22.9,22.1,3.7
Rajasthan,Total,All Ages,Male,52.2,48.8,6.6
Rajasthan,Total,All Ages,Person,38.0,35.8,5.7
Rajasthan,Urban,All Ages,Female,12.5,10.7,14.2
Rajasthan,Urban,All Ages,Male,55.1,50.4,8.5
Rajasthan,Urban,All Ages,Person,34.4,31.2,9.5
Rajasthan,Rural,15-29 years,Female,30.0,28.0,6.6
Rajasthan,Rural,15-29 years,Male,61.5,54.5,11.4
Rajasthan,Rural,15-29 years,Person,46.0,41.5,9.9
Rajasthan,Total,15-29 years,Female,25.7,23.4,9.1
Rajasthan,Total,15-29 years,Male,60.6,51.7,14.7
Rajasthan,Total,15-29 years,Person,43.6,37.9,13.1
Rajasthan,Urban,15-29 years,Female,13.5,10.1,24.9
Rajasthan,Urban,15-29 years,Male,58.1,44.1,24.1
Rajasthan,Urban,15-29 years,Person,36.8,27.8,24.3
Rajasthan,Rural,15-59 years,Female,47.8,46.8,2.0
Rajasthan,Rural,15-59 years,Male,80.3,76.6,4.6
Rajasthan,Rural,15-59 years,Person,64.1,61.8,3.6
Rajasthan,Total,15-59 years,Female,40.5,39.3,2.8
Rajasthan,Total,15-59 years,Male,80.0,75.1,6.1
Rajasthan,Total,15-59 years,Person,60.4,57.4,5.0
Rajasthan,Urban,15-59 years,Female,20.1,18.5,7.9
Rajasthan,Urban,15-59 years,Male,79.1,71.0,10.2
Rajasthan,Urban,15-59 years,Person,50.6,45.7,9.8
Rajasthan,Rural,15 years and above,Female,45.4,44.6,1.8
Rajasthan,Rural,15 years and above,Male,76.9,73.8,4.0
Rajasthan,Rural,15 years and above,Person,61.1,59.2,3.2
Rajasthan,Total,15 years and above,Female,38.6,37.6,2.5
Rajasthan,Total,15 years and above,Male,76.2,72.1,5.5
Rajasthan,Total,15 years and above,Person,57.6,55.0,4.5
Rajasthan,Urban,15 years and above,Female,18.8,17.4,7.4
Rajasthan,Urban,15 years and above,Male,74.4,67.4,9.4
Rajasthan,Urban,15 years and above,Person,47.7,43.4,9.0
Rajasthan,Rural,all ages,Female,32.8,32.2,1.8
Rajasthan,Rural,all ages,Male,53.3,51.1,4.1
Rajasthan,Rural,all ages,Person,43.2,41.8,3.2
Rajasthan,Total,all ages,Female,28.2,27.5,2.5
Rajasthan,Total,all ages,Male,53.6,50.6,5.5
Rajasthan,Total,all ages,Person,41.2,39.4,4.5
Rajasthan,Urban,all ages,Female,14.1,13.1,7.4
Rajasthan,Urban,all ages,Male,54.3,49.2,9.4
Rajasthan,Urban,all ages,Person,35.3,32.1,9.0
Uttar Pradesh,Rural,15-29 years,Female,7.5,6.8,8.7
Uttar Pradesh,Rural,15-29 years,Male,54.4,47.4,13.0
Uttar Pradesh,Rural,15-29 years,Person,30.6,26.7,12.5
Uttar Pradesh,Total,15-29 years,Female,7.4,6.7,10.5
Uttar Pradesh,Total,15-29 years,Male,54.7,46.2,15.6
Uttar Pradesh,Total,15-29 years,Person,31.1,26.4,15.0
Uttar Pradesh,Urban,15-29 years,Female,7.3,6.1,16.9
Uttar Pradesh,Urban,15-29 years,Male,55.4,42.7,22.9
Uttar Pradesh,Urban,15-29 years,Person,32.8,25.5,22.3
Uttar Pradesh,Rural,15-59 years,Female,15.3,15.0,2.0
Uttar Pradesh,Rural,15-59 years,Male,76.2,72.2,5.3
Uttar Pradesh,Rural,15-59 years,Person,44.9,42.7,4.7
Uttar Pradesh,Total,15-59 years,Female,14.1,13.7,2.7
Uttar Pradesh,Total,15-59 years,Male,75.6,70.4,6.9
Uttar Pradesh,Total,15-59 years,Person,44.4,41.7,6.2
Uttar Pradesh,Urban,15-59 years,Female,9.9,9.3,6.2
Uttar Pradesh,Urban,15-59 years,Male,73.9,65.4,11.5
Uttar Pradesh,Urban,15-59 years,Person,43.0,38.3,10.9
Uttar Pradesh,Rural,15 years and above,Male,74.0,70.4,4.8
Uttar Pradesh,Rural,15 years and above,Person,43.9,42.0,4.3
Uttar Pradesh,Total,15 years and above,Female,13.6,13.3,2.5
Uttar Pradesh,Total,15 years and above,Male,73.1,68.6,6.3
Uttar Pradesh,Total,15 years and above,Person,43.2,40.8,5.7
Uttar Pradesh,Urban,15 years and above,Female,9.7,9.2,5.7
Uttar Pradesh,Urban,15 years and above,Male,70.6,62.9,10.9
Uttar Pradesh,Urban,15 years and above,Person,41.2,36.9,10.3
Uttar Pradesh,Rural,All Ages,Female,10.7,10.5,1.8
Uttar Pradesh,Rural,All Ages,Male,49.9,47.5,4.8
Uttar Pradesh,Rural,All Ages,Person,30.5,29.2,4.3
Uttar Pradesh,Total,All Ages,Female,9.9,9.7,2.5
Uttar Pradesh,Total,All Ages,Male,50.3,47.1,6.3
Uttar Pradesh,Total,All Ages,Person,30.5,28.7,5.7
Uttar Pradesh,Urban,All Ages,Female,7.3,6.9,6.1
Uttar Pradesh,Urban,All Ages,Male,51.6,45.8,11.2
Uttar Pradesh,Urban,All Ages,Person,30.5,27.3,10.6
Uttar Pradesh,Rural,15-29 years,Female,9.2,8.8,5.3
Uttar Pradesh,Rural,15-29 years,Male,58.1,52.2,10.2
Uttar Pradesh,Rural,15-29 years,Person,33.8,30.6,9.5
Uttar Pradesh,Total,15-29 years,Female,9.7,8.7,10.6
Uttar Pradesh,Total,15-29 years,Male,57.5,50.1,12.9
Uttar Pradesh,Total,15-29 years,Person,34.3,29.9,12.6
Uttar Pradesh,Urban,15-29 years,Female,11.3,8.3,26.8
Uttar Pradesh,Urban,15-29 years,Male,55.7,43.7,21.6
Uttar Pradesh,Urban,15-29 years,Person,35.7,27.7,22.3
Uttar Pradesh,Rural,15-59 years,Female,19.6,19.3,1.2
Uttar Pradesh,Rural,15-59 years,Male,78.3,75.1,4.0
Uttar Pradesh,Rural,15-59 years,Person,48.5,46.9,3.4
Uttar Pradesh,Total,15-59 years,Female,18.3,17.7,2.9
Uttar Pradesh,Total,15-59 years,Male,78.0,73.9,5.2
Uttar Pradesh,Total,15-59 years,Person,48.2,45.9,4.8
Uttar Pradesh,Urban,15-59 years,Female,13.9,12.4,11.0
Uttar Pradesh,Urban,15-59 years,Male,77.0,70.0,9.0
Uttar Pradesh,Urban,15-59 years,Person,47.0,42.6,9.3
Uttar Pradesh,Rural,15 years and above,Female,18.9,18.7,1.1
Uttar Pradesh,Rural,15 years and above,Male,76.9,74.2,3.6
Uttar Pradesh,Rural,15 years and above,Person,47.9,46.4,3.1
Uttar Pradesh,Total,15 years and above,Female,17.7,17.2,2.7
Uttar Pradesh,Total,15 years and above,Male,76.0,72.4,4.8
Uttar Pradesh,Total,15 years and above,Person,47.1,45.1,4.4
Uttar Pradesh,Urban,15 years and above,Female,13.3,12.0,10.2
Uttar Pradesh,Urban,15 years and above,Male,73.2,67.0,8.6
Uttar Pradesh,Urban,15 years and above,Person,44.8,40.9,8.8
Uttar Pradesh,Rural,all ages,Female,13.5,13.3,1.1
Uttar Pradesh,Rural,all ages,Male,51.9,49.9,3.8
Uttar Pradesh,Rural,all ages,Person,33.1,32.0,3.2
Uttar Pradesh,Total,all ages,Female,12.7,12.4,2.7
Uttar Pradesh,Total,all ages,Male,52.6,50.0,4.9
Uttar Pradesh,Total,all ages,Person,33.2,31.7,4.5
Uttar Pradesh,Urban,all ages,Female,10.1,9.0,10.2
Uttar Pradesh,Urban,all ages,Male,54.9,50.2,8.5
Uttar Pradesh,Urban,all ages,Person,33.7,30.7,8.8
Bihar,Rural,15-29 years,Female,1.4,1.2,10.5
Bihar,Rural,15-29 years,Male,50.7,34.8,31.3
Bihar,Rural,15-29 years,Person,27.9,19.3,30.8
Bihar,Total,15-29 years,Female,1.6,1.3,19.1
Bihar,Total,15-29 years,Male,50.2,34.5,31.2
Bihar,Total,15-29 years,Person,27.6,19.1,30.9
Bihar,Urban,15-29 years,Female,3.7,2.0,47.2
Bihar,Urban,15-29 years,Male,45.2,31.5,30.3
Bihar,Urban,15-29 years,Person,25.3,17.3,31.5
Bihar,Rural,15-59 years,Female,4.2,4.2,1.4
Bihar,Rural,15-59 years,Male,76.3,67.9,11.1
Bihar,Rural,15-59 years,Person,41.5,37.1,10.6
Bihar,Total,15-59 years,Female,4.5,4.4,3.1
Bihar,Total,15-59 years,Male,76.0,67.6,11.0
Bihar,Total,15-59 years,Person,41.4,37.0,10.6
Bihar,Urban,15-59 years,Female,7.0,6.2,12.3
Bihar,Urban,15-59 years,Male,72.8,64.8,11.0
Bihar,Urban,15-59 years,Person,40.9,36.4,11.1
Bihar,Rural,15 years and above,Male,73.5,66.0,10.2
Bihar,Rural,15 years and above,Person,40.6,36.6,9.8
Bihar,Total,15 years and above,Female,4.3,4.2,3.0
Bihar,Total,15 years and above,Male,73.1,65.7,10.2
Bihar,Total,15 years and above,Person,40.4,36.4,9.8
Bihar,Urban,15 years and above,Female,6.5,5.7,11.9
Bihar,Urban,15 years and above,Male,69.7,62.6,10.3
Bihar,Urban,15 years and above,Person,39.2,35.1,10.4
Bihar,Rural,All Ages,Female,2.6,2.6,1.7
Bihar,Rural,All Ages,Male,48.8,43.6,10.6
Bihar,Rural,All Ages,Person,26.7,24.0,10.2
Bihar,Total,All Ages,Female,2.8,2.7,3.3
Bihar,Total,All Ages,Male,48.8,43.6,10.6
Bihar,Total,All Ages,Person,26.8,24.1,10.2
Bihar,Urban,All Ages,Female,4.7,4.1,12.3
Bihar,Urban,All Ages,Male,48.4,43.4,10.4
Bihar,Urban,All Ages,Person,27.6,24.7,10.5
Bihar,Rural,15-29 years,Female,3.7,3.6,3.7
Bihar,Rural,15-29 years,Male,47.8,39.3,17.8
Bihar,Rural,15-29 years,Person,26.9,22.4,16.9
Bihar,Total,15-29 years,Female,4.0,3.7,9.4
Bihar,Total,15-29 years,Male,47.8,39.1,18.2
Bihar,Total,15-29 years,Person,26.9,22.2,17.6
Bihar,Urban,15-29 years,Female,6.3,4.3,32.4
Bihar,Urban,15-29 years,Male,47.2,37.1,21.4
Bihar,Urban,15-29 years,Person,27.4,21.2,22.6
Bihar,Rural,15-59 years,Female,9.8,9.8,0.6
Bihar,Rural,15-59 years,Male,75.4,71.0,5.8
Bihar,Rural,15-59 years,Person,42.6,40.4,5.2
Bihar,Total,15-59 years,Female,9.7,9.5,1.8
Bihar,Total,15-59 years,Male,75.1,70.5,6.2
Bihar,Total,15-59 years,Person,42.5,40.1,5.7
Bihar,Urban,15-59 years,Female,8.9,7.8,12.6
Bihar,Urban,15-59 years,Male,73.1,66.6,8.9
Bihar,Urban,15-59 years,Person,41.5,37.7,9.3
Bihar,Rural,15 years and above,Female,9.7,9.6,0.5
Bihar,Rural,15 years and above,Male,73.5,69.7,5.2
Bihar,Rural,15 years and above,Person,42.1,40.1,4.7
Bihar,Total,15 years and above,Female,9.5,9.4,1.7
Bihar,Total,15 years and above,Male,73.0,69.0,5.6
Bihar,Total,15 years and above,Person,41.8,39.7,5.1
Bihar,Urban,15 years and above,Female,8.4,7.4,11.9
Bihar,Urban,15 years and above,Male,69.2,63.5,8.2
Bihar,Urban,15 years and above,Person,39.6,36.2,8.6
Bihar,Rural,all ages,Female,6.4,6.4,0.5
Bihar,Rural,all ages,Male,47.1,44.5,5.4
Bihar,Rural,all ages,Person,27.5,26.1,4.8
Bihar,Total,all ages,Female,6.4,6.3,1.7
Bihar,Total,all ages,Male,47.1,44.4,5.7
Bihar,Total,all ages,Person,27.5,26.0,5.3
Bihar,Urban,all ages,Female,6.1,5.3,12.4
Bihar,Urban,all ages,Male,47.1,43.3,8.1
Bihar,Urban,all ages,Person,27.7,25.3,8.6
Sikkim,Rural,15-29 years,Female,22.7,21.2,6.6
Sikkim,Rural,15-29 years,Male,48.9,43.5,11.1
Sikkim,Rural,15-29 years,Person,36.8,33.2,9.8
Sikkim,Total,15-29 years,Female,25.5,22.9,9.9
Sikkim,Total,15-29 years,Male,51.0,45.4,11.1
Sikkim,Total,15-29 years,Person,39.4,35.2,10.7
Sikkim,Urban,15-29 years,Female,32.6,27.5,15.8
Sikkim,Urban,15-29 years,Male,56.0,49.8,11.1
Sikkim,Urban,15-29 years,Person,45.7,40.0,12.6
Sikkim,Rural,15-59 years,Female,57.9,56.8,1.9
Sikkim,Rural,15-59 years,Male,77.9,75.4,3.2
Sikkim,Rural,15-59 years,Person,68.3,66.5,2.7
Sikkim,Total,15-59 years,Female,52.7,51.1,3.0
Sikkim,Total,15-59 years,Male,77.9,75.3,3.4
Sikkim,Total,15-59 years,Person,66.1,64.0,3.3
Sikkim,Urban,15-59 years,Female,37.9,35.0,7.7
Sikkim,Urban,15-59 years,Male,78.1,75.0,4.0
Sikkim,Urban,15-59 years,Person,60.4,57.3,5.0
Sikkim,Rural,15 years and above,Male,73.0,70.9,3.0
Sikkim,Rural,15 years and above,Person,64.6,63.0,2.5
Sikkim,Total,15 years and above,Female,50.3,48.9,2.8
Sikkim,Total,15 years and above,Male,73.9,71.5,3.2
Sikkim,Total,15 years and above,Person,63.0,61.1,3.1
Sikkim,Urban,15 years and above,Female,36.6,33.9,7.5
Sikkim,Urban,15 years and above,Male,76.1,73.2,3.9
Sikkim,Urban,15 years and above,Person,58.7,55.9,4.9
Sikkim,Rural,All Ages,Female,42.9,42.2,1.8
Sikkim,Rural,All Ages,Male,60.5,58.7,3.0
Sikkim,Rural,All Ages,Person,52.0,50.7,2.5
Sikkim,Total,All Ages,Female,39.5,38.4,2.8
Sikkim,Total,All Ages,Male,61.4,59.4,3.2
Sikkim,Total,All Ages,Person,51.0,49.4,3.1
Sikkim,Urban,All Ages,Female,29.4,27.2,7.5
Sikkim,Urban,All Ages,Male,63.7,61.2,3.9
Sikkim,Urban,All Ages,Person,48.2,45.9,4.9
Sikkim,Rural,15-29 years,Female,59.9,57.4,4.2
Sikkim,Rural,15-29 years,Male,58.1,52.0,10.4
Sikkim,Rural,15-29 years,Person,58.9,54.4,7.6
Sikkim,Total,15-29 years,Female,51.1,48.5,5.1
Sikkim,Total,15-29 years,Male,61.0,55.6,8.8
Sikkim,Total,15-29 years,Person,56.4,52.3,7.2
Sikkim,Urban,15-29 years,Female,33.5,30.7,8.2
Sikkim,Urban,15-29 years,Male,67.8,64.0,5.6
Sikkim,Urban,15-29 years,Person,50.9,47.6,6.5
Sikkim,Rural,15-59 years,Female,68.8,67.8,1.5
Sikkim,Rural,15-59 years,Male,81.6,79.3,2.8
Sikkim,Rural,15-59 years,Person,75.5,73.8,2.3
Sikkim,Total,15-59 years,Female,61.8,60.7,1.8
Sikkim,Total,15-59 years,Male,81.9,79.6,2.9
Sikkim,Total,15-59 years,Person,72.4,70.6,2.4
Sikkim,Urban,15-59 years,Female,42.9,41.6,3.0
Sikkim,Urban,15-59 years,Male,82.8,80.4,2.9
Sikkim,Urban,15-59 years,Person,64.0,62.1,3.0
Sikkim,Rural,15 years and above,Female,65.8,64.9,1.4
Sikkim,Rural,15 years and above,Male,79.6,77.7,2.5
Sikkim,Rural,15 years and above,Person,73.2,71.7,2.0
Sikkim,Total,15 years and above,Female,59.4,58.5,1.7
Sikkim,Total,15 years and above,Male,79.8,77.8,2.5
Sikkim,Total,15 years and above,Person,70.4,68.8,2.2
Sikkim,Urban,15 years and above,Female,41.2,40.0,3.0
Sikkim,Urban,15 years and above,Male,80.4,78.2,2.8
Sikkim,Urban,15 years and above,Person,62.0,60.2,2.9
Sikkim,Rural,all ages,Female,54.0,53.2,1.4
Sikkim,Rural,all ages,Male,63.8,62.2,2.5
Sikkim,Rural,all ages,Person,59.3,58.1,2.0
Sikkim,Total,all ages,Female,49.1,48.2,1.7
Sikkim,Total,all ages,Male,63.9,62.3,2.5
Sikkim,Total,all ages,Person,57.1,55.9,2.2
Sikkim,Urban,all ages,Female,34.6,33.5,3.0
Sikkim,Urban,all ages,Male,64.4,62.6,2.8
Sikkim,Urban,all ages,Person,50.7,49.3,2.9
Arunachal Pradesh,Rural,15-29 years,Female,14.7,9.1,38.1
Arunachal Pradesh,Rural,15-29 years,Male,28.7,20.4,28.9
Arunachal Pradesh,Rural,15-29 years,Person,23.2,16.0,31.1
Arunachal Pradesh,Total,15-29 years,Female,14.5,8.2,43.5
Arunachal Pradesh,Total,15-29 years,Male,28.2,19.9,29.5
Arunachal Pradesh,Total,15-29 years,Person,22.6,15.1,33.1
Arunachal Pradesh,Urban,15-29 years,Female,13.7,4.9,64.2
Arunachal Pradesh,Urban,15-29 years,Male,25.7,17.1,33.3
Arunachal Pradesh,Urban,15-29 years,Person,20.0,11.3,43.5
Arunachal Pradesh,Rural,15-59 years,Female,17.8,15.6,12.3
Arunachal Pradesh,Rural,15-59 years,Male,67.3,63.3,6.0
Arunachal Pradesh,Rural,15-59 years,Person,45.5,42.3,7.1
Arunachal Pradesh,Total,15-59 years,Female,17.4,14.8,14.9
Arunachal Pradesh,Total,15-59 years,Male,67.1,62.9,6.2
Arunachal Pradesh,Total,15-59 years,Person,44.8,41.4,7.7
Arunachal Pradesh,Urban,15-59 years,Female,15.2,10.8,28.9
Arunachal Pradesh,Urban,15-59 years,Male,66.0,61.0,7.6
Arunachal Pradesh,Urban,15-59 years,Person,41.7,37.0,11.3
Arunachal Pradesh,Rural,15 years and above,Male,66.3,62.3,6.1
Arunachal Pradesh,Rural,15 years and above,Person,44.9,41.7,7.1
Arunachal Pradesh,Total,15 years and above,Female,17.1,14.6,14.8
Arunachal Pradesh,Total,15 years and above,Male,66.2,62.0,6.3
Arunachal Pradesh,Total,15 years and above,Person,44.3,40.9,7.7
Arunachal Pradesh,Urban,15 years and above,Female,14.9,10.7,28.4
Arunachal Pradesh,Urban,15 years and above,Male,65.3,60.5,7.4
Arunachal Pradesh,Urban,15 years and above,Person,41.3,36.8,11.0
Arunachal Pradesh,Rural,All Ages,Female,13.5,11.7,12.7
Arunachal Pradesh,Rural,All Ages,Male,52.0,48.8,6.1
Arunachal Pradesh,Rural,All Ages,Person,34.8,32.3,7.3
Arunachal Pradesh,Total,All Ages,Female,13.1,11.1,15.3
Arunachal Pradesh,Total,All Ages,Male,51.7,48.5,6.3
Arunachal Pradesh,Total,All Ages,Person,34.3,31.6,7.9
Arunachal Pradesh,Urban,All Ages,Female,11.3,8.0,29.0
Arunachal Pradesh,Urban,All Ages,Male,50.7,46.9,7.4
Arunachal Pradesh,Urban,All Ages,Person,31.6,28.1,11.1
Arunachal Pradesh,Rural,15-29 years,Female,20.2,14.6,27.5
Arunachal Pradesh,Rural,15-29 years,Male,40.2,32.3,19.7
Arunachal Pradesh,Rural,15-29 years,Person,31.5,24.6,21.9
Arunachal Pradesh,Total,15-29 years,Female,18.7,13.4,28.5
Arunachal Pradesh,Total,15-29 years,Male,39.1,30.5,22.0
Arunachal Pradesh,Total,15-29 years,Person,30.1,22.9,23.8
Arunachal Pradesh,Urban,15-29 years,Female,12.4,8.0,35.4
Arunachal Pradesh,Urban,15-29 years,Male,33.3,21.3,36.1
Arunachal Pradesh,Urban,15-29 years,Person,23.1,14.8,35.9
Arunachal Pradesh,Rural,15-59 years,Female,24.8,22.5,9.3
Arunachal Pradesh,Rural,15-59 years,Male,69.9,65.8,5.8
Arunachal Pradesh,Rural,15-59 years,Person,48.7,45.4,6.6
Arunachal Pradesh,Total,15-59 years,Female,23.6,21.3,9.6
Arunachal Pradesh,Total,15-59 years,Male,70.0,65.6,6.3
Arunachal Pradesh,Total,15-59 years,Person,48.0,44.7,7.0
Arunachal Pradesh,Urban,15-59 years,Female,18.0,16.0,11.5
Arunachal Pradesh,Urban,15-59 years,Male,70.4,64.4,8.5
Arunachal Pradesh,Urban,15-59 years,Person,45.3,41.2,9.1
Arunachal Pradesh,Rural,15 years and above,Female,24.1,21.9,9.2
Arunachal Pradesh,Rural,15 years and above,Male,68.9,65.1,5.4
Arunachal Pradesh,Rural,15 years and above,Person,48.2,45.2,6.3
Arunachal Pradesh,Total,15 years and above,Female,22.9,20.8,9.5
Arunachal Pradesh,Total,15 years and above,Male,68.8,64.7,5.9
Arunachal Pradesh,Total,15 years and above,Person,47.5,44.3,6.7
Arunachal Pradesh,Urban,15 years and above,Female,17.7,15.6,11.4
Arunachal Pradesh,Urban,15 years and above,Male,68.6,62.8,8.4
Arunachal Pradesh,Urban,15 years and above,Person,44.3,40.3,9.0
Arunachal Pradesh,Rural,all ages,Female,17.7,16.0,9.2
Arunachal Pradesh,Rural,all ages,Male,53.1,50.2,5.4
Arunachal Pradesh,Rural,all ages,Person,36.3,34.0,6.3
Arunachal Pradesh,Total,all ages,Female,16.7,15.1,9.5
Arunachal Pradesh,Total,all ages,Male,52.0,48.9,5.9
Arunachal Pradesh,Total,all ages,Person,35.3,32.9,6.7
Arunachal Pradesh,Urban,all ages,Female,12.5,11.1,11.4
Arunachal Pradesh,Urban,all ages,Male,47.4,43.4,8.4
Arunachal Pradesh,Urban,all ages,Person,30.9,28.2,9.0
Nagaland,Rural,15-29 years,Female,23.6,9.9,58.2
Nagaland,Rural,15-29 years,Male,44.0,17.1,61.0
Nagaland,Rural,15-29 years,Person,33.3,13.3,60.0
Nagaland,Total,15-29 years,Female,23.6,9.2,61.2
Nagaland,Total,15-29 years,Male,44.0,18.2,58.6
Nagaland,Total,15-29 years,Person,33.4,13.5,59.6
Nagaland,Urban,15-29 years,Female,23.7,7.4,68.9
Nagaland,Urban,15-29 years,Male,44.0,20.7,53.0
Nagaland,Urban,15-29 years,Person,33.7,14.0,58.6
Nagaland,Rural,15-59 years,Female,23.9,18.3,23.5
Nagaland,Rural,15-59 years,Male,74.0,62.6,15.5
Nagaland,Rural,15-59 years,Person,48.4,39.9,17.5
Nagaland,Total,15-59 years,Female,22.6,16.3,27.9
Nagaland,Total,15-59 years,Male,73.8,62.4,15.5
Nagaland,Total,15-59 years,Person,47.8,39.0,18.5
Nagaland,Urban,15-59 years,Female,19.3,11.1,42.3
Nagaland,Urban,15-59 years,Male,73.3,61.9,15.5
Nagaland,Urban,15-59 years,Person,46.5,36.7,21.0
Nagaland,Rural,15 years and above,Male,69.9,59.9,14.4
Nagaland,Rural,15 years and above,Person,47.4,39.7,16.2
Nagaland,Total,15 years and above,Female,22.7,16.8,25.9
Nagaland,Total,15 years and above,Male,69.1,58.9,14.7
